Model,Price,Rating,Display,Warranty,graphic_card,Company,touchscreen,Gen_type,Ram_in_gb,Disk_drive,Processor_Name,processor_type,Operating_System
ASUS VivoBook Ultra 14 Core i5 11th Gen ,59990,4.4,35.56 cm (14 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
HP 15 Ryzen 3 Dual Core 3200U ,31490,4.0,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,HP,No,Not Mentioned,4,HDD,AMD,Ryzen 3,Windows 10
Nokia PureBook X14 Core i5 10th Gen ,54890,4.6,35.56 cm (14 inch) Display,1 Year Onsite Warranty Commencing from the Date of Purchase,No,Nokia,No,10,8,SSD,Intel,i5,Windows 10
Lenovo Legion Core i7 9th Gen ,65990,,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Lenovo,No,9,8,Both,Intel,i7,Windows 10
HP Omen Ryzen 5 Hexa Core 4600H ,69890,4.5,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,HP,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
DELL Vostro Core i3 10th Gen ,38350,4.1,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Dell,No,10,8,HDD,Intel,i3,Windows 10
Lenovo Thinkpad E14 Core i5 10th Gen ,56990,4.5,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,10,8,Both,Intel,i5,Windows 10
ASUS TUF Gaming Core i5 9th Gen ,76990,4.4,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,9,8,SSD,Intel,i5,Windows 10
HP Core i3 11th Gen ,41990,4.7,39.62 cm (15.6 inches) Display,1 Year Domestic Brand Warranty on Device,No,HP,No,10,8,SSD,Intel,i3,Windows 10
acer P2 Series Core i5 11th Gen ,50990,,39.62 cm (15.6 inches) Display,1 Year International Travelers Warranty (ITW),No,Acer,No,10,8,SSD,Intel,i5,Windows 10
Lenovo IdeaPad Flex 5 Ryzen 5 Hexa Core 4500U ,57990,4.5,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,No,Lenovo,Yes,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
HP Pavilion Core i5 11th Gen ,62990,4.2,33.78 cm (13.3 inch) Display,1 Year Onsite Warranty,No,HP,No,10,16,SSD,Intel,i5,Windows 10
HP Pavilion x360 Core i7 8th Gen ,69990,4.6,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,Yes,HP,Yes,8,8,Both,Intel,i7,Windows 10
ASUS VivoBook 14 Ryzen 7 Octa Core 4700U ,54990,4.4,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Asus,No,Not Mentioned,8,SSD,AMD,Ryzen 7,Windows 10
ASUS Core i5 10th Gen ,49990,4.2,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
acer Aspire 7 Ryzen 5 Quad Core 3550H ,52990,4.4,39.62 cm (15.6 inch) Display,1 Year International Travelers Warranty (ITW),Yes,Acer,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
ASUS VivoBook Flip 14 Core i5 11th Gen ,63990,4.5,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,No,Asus,Yes,10,8,SSD,Intel,i5,Windows 10
ASUS VivoBook Ultra 14 Core i5 11th Gen ,59990,4.4,35.56 cm (14 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
Lenovo Ideapad 3 Ryzen 3 Dual Core 3250U ,28990,3.9,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,Not Mentioned,4,HDD,AMD,Ryzen 3,Windows 10
DELL Inspiron Core i5 11th Gen ,57199,4.1,39.62 cm (15.6 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",No,Dell,No,10,4,Both,Intel,i5,Windows 10
HP 15s Core i3 11th Gen ,37990,4.1,39.62 cm (15.6 inches) Display,1 Year Onsite Warranty,No,HP,No,10,8,HDD,Intel,i3,Windows 10
ASUS TUF Gaming F15 Core i5 10th Gen ,63990,4.4,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
Lenovo ThinkPad E14 Core i3 10th Gen ,37490,4.4,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,10,4,SSD,Intel,i3,DOS
Lenovo ThinkPad E15 Core i7 11th Gen ,87990,5.0,39.62 cm (15.6 inches) Display,1 Year Onsite Warranty,Yes,Lenovo,No,10,16,SSD,Intel,i7,Windows 10
DELL Inspiron Core i5 10th Gen ,61390,4.4,35.56 cm (14 inch) Display,1 Year Onsite Warranty,Yes,Dell,No,10,8,SSD,Intel,i5,Windows 10
Lenovo ThinkPad E15 Core i3 11th Gen ,47990,4.3,39.62 cm (15.6 inches) Display,1 Year Onsite Warranty,No,Lenovo,No,10,8,SSD,Intel,i3,Windows 10
Lenovo IdeaPad 3 Core i3 10th Gen ,32990,4.3,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,10,8,HDD,Intel,i3,Windows 10
ASUS VivoBook 14 Ryzen 5 Hexa Core 4500U ,46990,4.5,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Asus,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
DELL Inspiron 14 Core i3 10th Gen ,34490,3.9,35.56 cm (14 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",No,Dell,No,10,4,HDD,Intel,i3,Windows 10
DELL Inspiron Core i3 11th Gen ,54990,4.9,35.56 cm (14 inch) Touchscreen Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",No,Dell,Yes,10,4,SSD,Intel,i3,Windows 10
Lenovo IdeaPad 3 Ryzen 5 Hexa Core 4500U ,44990,3.8,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
HP 14s Core i3 10th Gen ,36490,3.9,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,HP,No,10,4,HDD,Intel,i3,Windows 10
APPLE MacBook Pro M1 ,133990,4.7,33.78 cm (13.3 inch) Display,,No,Apple,No,Not Mentioned,8,SSD,Not Metioned,Not Metioned,Mac
HP 14s Ryzen 5 Hexa Core 5500U ,52990,,35.56 cm (14 Inch) Display,1 Year Onsite Warranty,No,HP,No,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
DELL Inspiron Core i3 11th Gen ,56690,,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,No,Dell,Yes,10,8,SSD,Intel,i3,Windows 10
MSI GF63 Thin Core i5 9th Gen ,49990,3.4,39.62 cm (15.6 inches) Display,2 Year Warranty Term for Gaming,Yes,MSI,No,9,8,HDD,Intel,i5,Windows 10
HP Pavilion x360 Core i5 11th Gen ,64490,4.4,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,No,HP,Yes,10,8,SSD,Intel,i5,Windows 10
DELL G3 Core i7 10th Gen ,77990,4.3,39.62 cm (15.6 inch) Display,"1 Year Limited Hardware Warranty, In Home Service After Remote Diagnosis - Retail",Yes,Dell,No,10,8,SSD,Intel,i7,Windows 10
Lenovo ThinkPad E14 Core i7 10th Gen ,89990,4.3,35.56 cm (14 inch) Display,1 Year Onsite Warranty,No,Lenovo,No,10,16,SSD,Intel,i7,Windows 10
acer Predator Helios 300 Core i5 10th Gen ,89990,4.6,39.62 cm (15.6 inch) Display,1 Year International Travelers Warranty (ITW),Yes,Acer,No,10,16,Both,Intel,i5,Windows 10
acer Swift 3 Core i5 11th Gen Intel EVO ,59990,4.5,34.29 cm (13.5 inch) Display,1 Year International Travelers Warranty (ITW),No,Acer,No,10,8,SSD,Intel,i5,Windows 10
ASUS VivoBook Flip 14 Core i5 11th Gen ,71990,,35.56 cm (14 inch) Touchscreen Display,1 Year Onsite Warranty,Yes,Asus,Yes,10,8,SSD,Intel,i5,Windows 10
ASUS VivoBook 15 Core i3 10th Gen ,32990,,39.62 cm (15.6 inch) Display,1 Year Onsite Warranty,No,Asus,No,10,4,HDD,Intel,i3,Windows 10
