Price,Rating,graphic_card,Company,touchscreen,Gen_type,Ram_in_gb,Disk_drive,Processor_Name,processor_type,Operating_System
96890,4.2,No,Asus,No,10,16,SSD,Intel,i7,Windows 10
55990,4.5,No,Dell,Yes,10,4,Both,Intel,i3,Windows 10
36490,4.204958677685946,No,Dell,No,Not Mentioned,8,HDD,AMD,Ryzen 3,Windows 10
39990,4.4,No,HP,Yes,10,4,Not Metioned,Intel,i3,Mac
112890,4.4,Yes,Asus,No,10,16,SSD,Intel,i7,Windows 10
43990,4.0,No,Lenovo,No,10,8,HDD,Intel,i5,Windows 10
72990,4.6,No,HP,No,10,8,SSD,Intel,i7,Windows 10
64990,4.5,Yes,Acer,No,10,8,SSD,Intel,i5,Windows 10
54890,4.4,No,Asus,No,Not Mentioned,8,SSD,AMD,Ryzen 7,Windows 10
78990,4.7,No,Lenovo,Yes,Not Mentioned,16,SSD,AMD,Ryzen 7,Windows 10
56990,4.6,Yes,Lenovo,No,10,8,SSD,Intel,i5,Windows 10
54990,4.204958677685946,No,Acer,No,10,16,SSD,Intel,i5,Windows 10
59990,4.204958677685946,Yes,Asus,No,10,8,SSD,Intel,i5,Windows 10
99990,4.204958677685946,No,Asus,Yes,10,8,SSD,Intel,i5,Windows 10
58990,4.204958677685946,No,HP,No,10,8,SSD,Intel,i5,Windows 10
59990,4.4,No,Asus,No,8,8,SSD,Intel,i5,Windows 10
73990,4.6,No,HP,Yes,Not Mentioned,8,SSD,AMD,Ryzen 5,Windows 10
89990,4.6,No,MICROSOFT,Yes,10,8,SSD,Intel,i5,Windows 10
99890,4.204958677685946,No,Asus,No,10,16,SSD,Intel,i7,Windows 10
41989,4.8,No,Asus,No,10,4,SSD,Intel,i3,Windows 10
133990,4.7,No,Apple,No,Not Mentioned,8,SSD,Not Metioned,Not Metioned,Mac
38990,4.5,No,MSI,No,10,8,SSD,Intel,i3,Windows 10
27990,4.0,No,Lenovo,No,Not Mentioned,4,HDD,AMD,Ryzen 3,Windows 10
174900,4.8,No,Apple,No,10,16,SSD,Intel,i5,Mac
174990,5.0,Yes,ALIENWARE,No,10,16,SSD,Intel,i7,Windows 10
159990,4.7,No,Apple,No,10,16,SSD,Intel,i5,Mac
99990,4.4,No,Apple,No,10,8,SSD,Intel,i5,Mac
159990,4.204958677685946,Yes,Asus,Yes,9,32,SSD,Intel,i7,Windows 10
99990,4.4,No,Apple,No,10,8,SSD,Intel,i5,Mac
174900,4.7,No,Apple,No,10,16,SSD,Intel,i5,Mac
